"pnr","preis"
"3473522899","0.00"
"3833930128","0.00"
"3833930136","0.00"
"3473530298","0.00"
"3473530190","0.00"
"3499202166","0.00"
"3788602465","0.00"
"3788602414","0.00"
"3788602562","0.00"
"3822846457","0.00"
"3423706732","0.00"
"3423706341","0.00"
"3551552851","0.00"
"3551552835","0.00"
"355155286X","0.00"
"3551552878","0.00"
"3446203443","0.00"
"3570215075","0.00"
"3866040113","0.00"
"3821225602","0.00"
"3890822576","0.00"
"B00000I9W2","0.00"
"B0000035LN","0.00"
"B00005PJJE","0.00"
"377251796X","0.00"
"3821229292","0.00"
"3821229268","0.00"
"3833934824","0.00"
"3442416647","0.00"
"3170189263","0.00"
"3473347523","0.00"
"3473347515","0.00"
"3473347531","0.00"
"3785530412","0.00"
"3596800064","0.00"
"3785530471","0.00"
"3522177746","0.00"
"3446206027","0.00"
"3789131598","0.00"
"3570129209","0.00"
"3442545870","0.00"
"3788602562","0.00"
"3788602465","0.00"
"3442336805","0.00"
"3442339006","0.00"
"3468266251","0.00"
"346821507X","0.00"
"3468215134","0.00"
"3782207343","0.00"
"3453131711","0.00"
"3440099520","0.00"
"3788602481","0.00"
"B00008MLSH","0.00"
"B0002QXS6K","0.00"
"3468839286","0.00"
"3190041954","0.00"
"B000031W7Q","0.00"
"B0000258L4","0.00"
"B00006HATR","0.00"
"B0000258L4","0.00"
"B00004STZB","0.00"
"B00009Y30Z","0.00"
"B000003G6Q","0.00"
"B00000I9LV","0.00"
"B0000E5SLF","0.00"
"B000026DMC","0.00"
"B00005B5MC","0.00"
"B00005J7DB","0.00"
"B00008Y4QR","0.00"
"B0000014H5","0.00"
"B00006589U","0.00"
"B0001CTKD0","0.00"
"B0006M4RMY","0.00"
"B0002ONBJ6","0.00"
"B000000SCT","0.00"
"B000005EB0","0.00"
"B00000I9W2","0.00"
"B00005PJJE","0.00"
"B0002H245A","0.00"
"B0002K70BA","0.00"
"B00008MLSH","0.00"
"B00006RJ22","0.00"
"B0000E39MD","0.00"
"B0000TI3RS","0.00"
"B0000258L4","0.00"
"B000031W6H","0.00"
"B000276K4Q","0.00"
"B000002RSX","0.00"
"B00004YA0K","0.00"
"B00002628D","0.00"
"B000025OBV","0.00"
"B0000247PV","0.00"
"B000059LOL","0.00"
"B00000E6PD","0.00"
"B0000B1JWE","0.00"
"B0000014HN","0.00"
"B0001WGDX0","0.00"
"B000095IUM","0.00"
"B0000CNTLU","0.00"
"B0000262I8","0.00"
"B00006GOCT","0.00"
"B000028DL4","0.00"
"B000023Z0S","0.00"
"B00004STZB","0.00"
"B000654OVA","0.00"
"B0000247Q5","0.00"
"B000024MAQ","0.00"
"B000026F1P","0.00"
"B0000270EO","0.00"
"B0000A01L7","0.00"
"B000000SC2","0.00"
"B00004YSFQ","0.00"
"B0002QXS6U","0.00"
"B000025O8I","0.00"
"B00004TTIJ","0.00"
"B00000DBVG","0.00"
"B00004XR5E","0.00"
"B0000263B9","0.00"
"B0000014HE","0.00"
"B000024I89","0.00"
"B00004YMM4","0.00"
"B00005B5MC","0.00"
"B00002470R","0.00"
"B0000265PK","0.00"
"B000026I2V","0.00"
"B0002TB5V2","0.00"
"B00005RCIV","0.00"
"B00009VHA2","0.00"
"B0000C9V3K","0.00"
"B000025T0Z","0.00"
"B000025GK0","0.00"
"B000025OBV","0.00"
"B00008PW4A","0.00"
"B000025802","0.00"
"B00007B6WD","0.00"
"B00004LN02","0.00"
"B00002DGW7","0.00"
"B000095J89","0.00"
"B000025OWS","0.00"
"B00005KBE5","0.00"
"B000025GJM","0.00"
"B000026F1P","0.00"
"B0000247Q5","0.00"
"B000024MAQ","0.00"
"B0000270EO","0.00"
"B00002DGTA","0.00"
"B000083GOJ","0.00"
"B000026EGR","0.00"
"B0000075AO","0.00"
"B0000247K8","0.00"
"B00004SX3C","0.00"
"B00000416O","0.00"
"B00002DF2O","0.00"
"B00000C2KM","0.00"
"B000025802","0.00"
"B000063X5K","0.00"
"B00008PW4A","0.00"
"B00002DGVQ","0.00"
"B000006NAS","0.00"
"B00006AWLW","0.00"
"B00004U8FD","0.00"
"B0000A9DZV","0.00"
"B000024I89","0.00"
"B00005A797","0.00"
"B0002YC642","0.00"
"B00002DGBP","0.00"
"B00000K2F3","0.00"
"B0000247Q2","0.00"
"B000001WVC","0.00"
"B00008PW4A","0.00"
"B00000K2F3","0.00"
"B000003GAU","0.00"
"B00004YMM3","0.00"
"B00005NZOO","0.00"
"B00020Q386","0.00"
"B000026B70","0.00"
"B000024AZB","0.00"
"B000026UHV","0.00"
"B0002IVMIO","0.00"
"B0002VENP0","0.00"
"B00009KV0W","0.00"
"B000094HLE","0.00"
"B000295TXC","0.00"
"B00006AWLW","0.00"
"B00002DGVQ","0.00"
"B0006M4RMY","0.00"
"B00000IIXM","0.00"
"B000023ZZK","0.00"
"B00005UOVD","0.00"
"B0006TN9G2","0.00"
"B0000041KV","0.00"
"B000025HGV","0.00"
"B0000AKOWN","0.00"
